training_layout_index,mode_index,order,relative_gap_percent
0,0,4→2→1→3,0.0
1,1,3→4→2→1,0.0
1,2,4→3→2→1,4.869954303970971
8,11,4→3→2→1,0.0
8,12,3→4→2→1,2.337379633764121
8,13,1→2→3→4,4.062387826361617
255,408,4→1→3→2,0.0
255,409,4→2→3→1,2.0256795904486973
255,410,1→3→2→4,3.9320973922512334
255,411,1→4→2→3,4.57140645025769
255,412,4→1→2→3,4.7455145428195875
285,464,4→3→2→1,0.0
285,465,4→2→1→3,0.3673485463113883
285,466,4→2→3→1,1.3665489540216034
285,467,3→1→2→4,1.9491876952440306
285,468,4→1→2→3,2.4834882396751246
285,469,3→2→1→4,4.065327388607766
7686,12550,3→2→1→4,0.0
7686,12551,4→1→3→2,0.06976785910502807
7686,12552,4→3→1→2,0.19684345424508323
7686,12553,4→3→2→1,0.7509260029190189
7686,12554,2→3→1→4,2.3383063471694787
7686,12555,2→1→3→4,2.4653819423095213
