method,solver,tolerance,gap_bin,n_layouts,success_percent,mean_visited,mean_worst_distance,nonfinite_layouts
analytic_single,rk4_1000,0.02,ALL_selected,100,100.0,4.0,0.0003606243819397505,0
analytic_single,rk4_1000,0.02,<1%,25,100.0,4.0,0.00041976115219289587,0
analytic_single,rk4_1000,0.02,1–<5%,25,100.0,4.0,0.0004058777688958562,0
analytic_single,rk4_1000,0.02,5–<10%,25,100.0,4.0,0.0003490138378364644,0
analytic_single,rk4_1000,0.02,≥10%,25,100.0,4.0,0.0002678447688337852,0
analytic_single,rk4_1000,0.05,ALL_selected,100,100.0,4.0,0.0003606243819397505,0
analytic_single,rk4_1000,0.05,<1%,25,100.0,4.0,0.00041976115219289587,0
analytic_single,rk4_1000,0.05,1–<5%,25,100.0,4.0,0.0004058777688958562,0
analytic_single,rk4_1000,0.05,5–<10%,25,100.0,4.0,0.0003490138378364644,0
analytic_single,rk4_1000,0.05,≥10%,25,100.0,4.0,0.0002678447688337852,0
analytic_single,rk4_2000,0.02,ALL_selected,100,100.0,4.0,0.00019329617777143535,0
analytic_single,rk4_2000,0.02,<1%,25,100.0,4.0,0.0001735880617257799,0
analytic_single,rk4_2000,0.02,1–<5%,25,100.0,4.0,0.00023629263516531697,0
analytic_single,rk4_2000,0.02,5–<10%,25,100.0,4.0,0.00019849824984996566,0
analytic_single,rk4_2000,0.02,≥10%,25,100.0,4.0,0.00016480576434467893,0
analytic_single,rk4_2000,0.05,ALL_selected,100,100.0,4.0,0.00019329617777143535,0
analytic_single,rk4_2000,0.05,<1%,25,100.0,4.0,0.0001735880617257799,0
analytic_single,rk4_2000,0.05,1–<5%,25,100.0,4.0,0.00023629263516531697,0
analytic_single,rk4_2000,0.05,5–<10%,25,100.0,4.0,0.00019849824984996566,0
analytic_single,rk4_2000,0.05,≥10%,25,100.0,4.0,0.00016480576434467893,0
analytic_single,rk4_4000,0.02,ALL_selected,100,100.0,4.0,9.089020886636484e-05,0
analytic_single,rk4_4000,0.02,<1%,25,100.0,4.0,0.00010006168259796574,0
analytic_single,rk4_4000,0.02,1–<5%,25,100.0,4.0,9.587179862719696e-05,0
analytic_single,rk4_4000,0.02,5–<10%,25,100.0,4.0,9.315858622396228e-05,0
analytic_single,rk4_4000,0.02,≥10%,25,100.0,4.0,7.446876801633439e-05,0
analytic_single,rk4_4000,0.05,ALL_selected,100,100.0,4.0,9.089020886636484e-05,0
analytic_single,rk4_4000,0.05,<1%,25,100.0,4.0,0.00010006168259796574,0
analytic_single,rk4_4000,0.05,1–<5%,25,100.0,4.0,9.587179862719696e-05,0
analytic_single,rk4_4000,0.05,5–<10%,25,100.0,4.0,9.315858622396228e-05,0
analytic_single,rk4_4000,0.05,≥10%,25,100.0,4.0,7.446876801633439e-05,0
analytic_single,rk4_8000,0.02,ALL_selected,100,100.0,4.0,4.17389591516285e-05,0
analytic_single,rk4_8000,0.02,<1%,25,100.0,4.0,4.235357719750636e-05,0
analytic_single,rk4_8000,0.02,1–<5%,25,100.0,4.0,4.919276854371417e-05,0
analytic_single,rk4_8000,0.02,5–<10%,25,100.0,4.0,4.3304542654709475e-05,0
analytic_single,rk4_8000,0.02,≥10%,25,100.0,4.0,3.210494821058402e-05,0
analytic_single,rk4_8000,0.05,ALL_selected,100,100.0,4.0,4.17389591516285e-05,0
analytic_single,rk4_8000,0.05,<1%,25,100.0,4.0,4.235357719750636e-05,0
analytic_single,rk4_8000,0.05,1–<5%,25,100.0,4.0,4.919276854371417e-05,0
analytic_single,rk4_8000,0.05,5–<10%,25,100.0,4.0,4.3304542654709475e-05,0
analytic_single,rk4_8000,0.05,≥10%,25,100.0,4.0,3.210494821058402e-05,0
analytic_single,dop853,0.02,ALL_selected,100,100.0,4.0,1.1636620205366282e-15,0
analytic_single,dop853,0.02,<1%,25,100.0,4.0,1.1175705785329126e-15,0
analytic_single,dop853,0.02,1–<5%,25,100.0,4.0,1.1488113173103697e-15,0
analytic_single,dop853,0.02,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_single,dop853,0.02,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
analytic_single,dop853,0.05,ALL_selected,100,100.0,4.0,1.1636620205366282e-15,0
analytic_single,dop853,0.05,<1%,25,100.0,4.0,1.1175705785329126e-15,0
analytic_single,dop853,0.05,1–<5%,25,100.0,4.0,1.1488113173103697e-15,0
analytic_single,dop853,0.05,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_single,dop853,0.05,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
analytic_single,dop853_tight,0.02,ALL_selected,100,100.0,4.0,1.1636620205366282e-15,0
analytic_single,dop853_tight,0.02,<1%,25,100.0,4.0,1.1175705785329126e-15,0
analytic_single,dop853_tight,0.02,1–<5%,25,100.0,4.0,1.1488113173103697e-15,0
analytic_single,dop853_tight,0.02,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_single,dop853_tight,0.02,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
analytic_single,dop853_tight,0.05,ALL_selected,100,100.0,4.0,1.1636620205366282e-15,0
analytic_single,dop853_tight,0.05,<1%,25,100.0,4.0,1.1175705785329126e-15,0
analytic_single,dop853_tight,0.05,1–<5%,25,100.0,4.0,1.1488113173103697e-15,0
analytic_single,dop853_tight,0.05,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
