method,trial_id,layout_index,initial_sigma,tolerance,coarse_steps,fine_steps,coarse_success,fine_success,success_changed,coarse_worst_distance,fine_worst_distance,max_position_change_at_shared_times,position_stable_at_threshold
analytic_single,1558,366,0.0,0.02,1000,2000,True,True,False,0.0008414869974982497,0.0004088759724673093,0.0006604273041290866,True
analytic_single,1558,366,0.0,0.05,1000,2000,True,True,False,0.0008414869974982497,0.0004088759724673093,0.0006604273041290866,True
analytic_single,1845,448,0.0,0.02,1000,2000,True,True,False,0.0007925148732532271,0.0003244217339341088,0.0007096559295255319,True
analytic_single,1845,448,0.0,0.05,1000,2000,True,True,False,0.0007925148732532271,0.0003244217339341088,0.0007096559295255319,True
analytic_single,2501,606,0.0,0.02,1000,2000,True,True,False,0.0006631520607421885,0.00017377938907768114,0.0006924066653914188,True
analytic_single,2501,606,0.0,0.05,1000,2000,True,True,False,0.0006631520607421885,0.00017377938907768114,0.0006924066653914188,True
analytic_single,2747,690,0.0,0.02,1000,2000,True,True,False,0.0006570859519769061,0.00016093932690341314,0.0004901921473639484,True
analytic_single,2747,690,0.0,0.05,1000,2000,True,True,False,0.0006570859519769061,0.00016093932690341314,0.0004901921473639484,True
analytic_single,3778,904,0.01,0.02,1000,2000,False,False,False,0.021158776642183474,0.02115876410031093,0.00028978263363292454,True
analytic_single,3778,904,0.01,0.05,1000,2000,True,True,False,0.021158776642183474,0.02115876410031093,0.00028978263363292454,True
analytic_single,1568,366,0.01,0.02,1000,2000,False,False,False,0.021004798800102226,0.02134054925226598,0.0006604273041268162,True
analytic_single,1568,366,0.01,0.05,1000,2000,True,True,False,0.021004798800102226,0.02134054925226598,0.0006604273041268162,True
analytic_single,2589,641,0.01,0.02,1000,2000,False,False,False,0.020822563995501742,0.020738145715961005,0.00017973659381991354,True
analytic_single,2589,641,0.01,0.05,1000,2000,True,True,False,0.020822563995501742,0.020738145715961005,0.00017973659381991354,True
analytic_single,3615,887,0.01,0.02,1000,2000,True,True,False,0.01914030407768567,0.01914030407768249,0.00029207694446343964,True
analytic_single,3615,887,0.01,0.05,1000,2000,True,True,False,0.01914030407768567,0.01914030407768249,0.00029207694446343964,True
analytic_single,3798,904,0.05,0.02,1000,2000,False,False,False,0.10732431586977857,0.1073242735651261,0.00028978263362583245,True
analytic_single,3798,904,0.05,0.05,1000,2000,False,False,False,0.10732431586977857,0.1073242735651261,0.00028978263362583245,True
analytic_single,1588,366,0.05,0.02,1000,2000,False,False,False,0.10483234672357532,0.10527386026591833,0.000660427304117474,True
analytic_single,1588,366,0.05,0.05,1000,2000,False,False,False,0.10483234672357532,0.10527386026591833,0.000660427304117474,True
analytic_single,4003,939,0.05,0.02,1000,2000,True,False,True,0.019975445510304484,0.020097265949257502,0.0006316847006260071,True
analytic_single,4003,939,0.05,0.05,1000,2000,True,True,False,0.019975445510304484,0.020097265949257502,0.0006316847006260071,True
