layout_index,rank,order,length,excess_percent
3,1,2→1→4→3,1.3462098874923794,0.0
8,1,4→2→3→1,1.2965902745611462,0.0
11,1,1→4→2→3,1.5454434470284113,0.0
11,2,1→4→3→2,1.5910444633131042,2.950675184677576
12,1,4→1→3→2,1.1515668869831743,0.0
12,2,4→1→2→3,1.2000386705749353,4.2092026211994815
12,3,2→3→1→4,1.2020979141408836,4.388023633615257
13,1,4→3→2→1,1.29550038748154,0.0
15,1,1→3→4→2,1.3097284260252775,0.0
20,1,4→3→2→1,1.7101646379066393,0.0
20,2,4→3→1→2,1.7321990198969819,1.2884363003385468
20,3,2→1→3→4,1.7837693545597078,4.303955012376215
28,1,4→3→2→1,1.3619989807257458,0.0
31,1,3→2→4→1,1.0668150320456937,0.0
40,1,4→2→3→1,0.9007786966650146,0.0
43,1,3→4→2→1,1.5033155164919323,0.0
43,2,1→2→4→3,1.515124350941327,0.7855193616940204
43,3,3→1→2→4,1.568953567124138,4.366219194316279
45,1,4→2→1→3,0.7587217398593279,0.0
47,1,4→2→3→1,1.1606309234429109,0.0
80,1,3→4→2→1,1.2101089978938249,0.0
83,1,4→3→1→2,1.3105193316333126,0.0
86,1,2→3→4→1,1.1915725651156193,0.0
101,1,2→1→3→4,1.4784431959028481,0.0
101,2,1→3→4→2,1.4895227016991106,0.7494035500969387
117,1,2→3→1→4,1.4035152258192778,0.0
117,2,4→1→2→3,1.4078332577126453,0.30765835766739524
117,3,4→1→3→2,1.468057411816585,4.598609606079029
140,1,3→2→1→4,1.295605889293461,0.0
140,2,3→2→4→1,1.3467243107323197,3.9455224664604938
149,1,3→2→1→4,1.165113091577855,0.0
149,2,3→1→2→4,1.1731343748679894,0.6884553394959969
149,3,3→2→4→1,1.1859275462268588,1.7864750468828738
149,4,3→1→4→2,1.2182352339902356,4.55939794998268
154,1,3→1→4→2,1.4524459086794232,0.0
165,1,3→4→1→2,1.3146924744596058,0.0
165,2,4→3→1→2,1.3327578573675467,1.3741147271240317
165,3,3→4→2→1,1.3381441499928715,1.7838145413363815
174,1,2→1→4→3,1.121311747778494,0.0
174,2,2→1→3→4,1.127422069210219,0.5449261941498973
185,1,3→2→4→1,1.4658297682068162,0.0
185,2,3→4→1→2,1.4703720871906123,0.30988038872705737
185,3,3→2→1→4,1.4708049878678733,0.3394131957862534
185,4,2→3→4→1,1.4983485875388118,2.2184581072996368
185,5,2→1→4→3,1.502058047627388,2.4715202410502624
186,1,2→4→1→3,1.4610388767605245,0.0
186,2,2→3→1→4,1.514298202345715,3.6453051614395937
187,1,3→2→1→4,1.462285881213303,0.0
187,2,3→2→4→1,1.484781924111305,1.5384162007593405
236,1,2→4→1→3,1.4017429883543624,0.0
246,1,3→2→1→4,1.0607473816904625,0.0
248,1,3→1→2→4,1.0190938757619967,0.0
250,1,1→3→2→4,0.9220989549906553,0.0
281,1,4→2→1→3,1.2258403339108657,0.0
281,2,4→3→2→1,1.2819500069537448,4.577241545305455
312,1,1→4→3→2,1.944969021644646,0.0
312,2,3→1→4→2,2.0037239808288456,3.0208686375126526
322,1,4→3→1→2,1.1832405751767943,0.0
329,1,2→3→1→4,1.307085974669447,0.0
329,2,3→2→1→4,1.3658509855540744,4.495879538412817
332,1,3→2→1→4,1.420498112713013,0.0
332,2,4→1→2→3,1.4227201568607413,0.15642711016943256
353,1,3→1→4→2,1.0459674401848023,0.0
363,1,4→1→3→2,1.1542965894820691,0.0
363,2,4→1→2→3,1.162717137791363,0.7294960745809709
364,1,4→1→3→2,0.9942513231661352,0.0
366,1,1→2→3→4,1.711033532405145,0.0
366,2,1→4→3→2,1.7181892233141696,0.4182086892806858
366,3,1→4→2→3,1.7583674650807601,2.7663942160782273
379,1,4→1→2→3,1.3222688987848819,0.0
379,2,4→3→2→1,1.3253829343515529,0.23550698118459668
379,3,4→1→3→2,1.3819011723421246,4.509844677738606
379,4,3→2→1→4,1.3856973515808344,4.796940535638483
391,1,2→1→3→4,1.3159808033544391,0.0
391,2,2→3→4→1,1.3327735306143236,1.2760617189156331
391,3,1→2→3→4,1.3638919067952555,3.640714463211836
418,1,1→2→4→3,1.522654916294181,0.0
418,2,1→2→3→4,1.569777978647506,3.0947959284177484
428,1,4→3→2→1,1.3549538961019336,0.0
428,2,1→2→3→4,1.3901719026723698,2.5992033139839554
434,1,1→2→4→3,1.3016928149834863,0.0
437,1,2→3→1→4,1.4117018046392436,0.0
437,2,4→1→2→3,1.4228646594953727,0.7907374503202336
437,3,1→4→3→2,1.443918646775349,2.282127998294836
437,4,4→1→3→2,1.4511362483037746,2.7933975528641186
437,5,2→1→4→3,1.4661034445614836,3.8536211927661546
437,6,1→2→3→4,1.4719772552331523,4.26970132047908
448,1,1→2→3→4,1.888530859543198,0.0
450,1,1→4→2→3,1.6038566969580743,0.0
456,1,1→3→4→2,1.1915547812635099,0.0
492,1,4→2→1→3,1.042783900101062,0.0
494,1,2→1→4→3,1.4732274058768857,0.0
494,2,2→4→3→1,1.4885362881442674,1.039139117716159
494,3,3→4→2→1,1.5408879287123953,4.592673375855183
494,4,2→3→4→1,1.5431002832721457,4.7428439843386405
506,1,3→1→2→4,1.2270471018007847,0.0
531,1,2→3→1→4,1.6293389931342,0.0
531,2,1→3→2→4,1.6854012203135271,3.44079577151013
532,1,3→2→4→1,0.9979604403258834,0.0
532,2,2→3→4→1,1.0246666663544317,2.676080628990407
536,1,3→2→1→4,1.059749599417215,0.0
547,1,1→3→2→4,1.0539097310874004,0.0
564,1,1→2→4→3,0.8303986721065394,0.0
573,1,4→1→3→2,1.3139214568658901,0.0
573,2,4→1→2→3,1.3341104566067088,1.5365454027195469
575,1,4→2→1→3,1.2912040634941055,0.0
579,1,4→3→1→2,1.3651647307377839,0.0
579,2,2→4→3→1,1.367851085069524,0.19677876751829082
591,1,3→2→4→1,1.3398244635247378,0.0
601,1,1→4→3→2,1.2852599531030635,0.0
606,1,4→3→1→2,1.2361700738183847,0.0
606,2,4→1→3→2,1.2439491576692725,0.6292891257963396
606,3,4→2→3→1,1.296568085645912,4.88589823574721
607,1,1→2→4→3,1.4508080057282648,0.0
607,2,3→4→2→1,1.4866784243893665,2.4724442186335738
607,3,3→4→1→2,1.4931694802867048,2.919853929064553
641,1,3→1→4→2,1.1322645813959908,0.0
647,1,2→3→1→4,1.4044440571270376,0.0
647,2,4→2→3→1,1.4146265040929022,0.7250162022611306
647,3,2→4→1→3,1.4559368902023113,3.6664210876870884
647,4,2→4→3→1,1.4705156859609438,4.704468540317941
648,1,3→2→1→4,1.3277114698184753,0.0
