method,initial_sigma,tolerance,gap_bin,n_layouts,n_rollouts,success_percent,mean_visited,mean_worst_distance,nonfinite_percent
learned_single,0.0,0.02,ALL_selected,100,100,59.0,3.33,0.045476952141712795,0.0
learned_single,0.0,0.02,<1%,25,25,16.0,2.36,0.10322210390218156,0.0
learned_single,0.0,0.02,1–<5%,25,25,52.0,3.36,0.05291332782150703,0.0
learned_single,0.0,0.02,5–<10%,25,25,80.0,3.76,0.013662821540751149,0.0
learned_single,0.0,0.02,≥10%,25,25,88.0,3.84,0.012109555302411432,0.0
learned_single,0.0,0.05,ALL_selected,100,100,80.0,3.74,0.045476952141712795,0.0
learned_single,0.0,0.05,<1%,25,25,48.0,3.24,0.10322210390218156,0.0
learned_single,0.0,0.05,1–<5%,25,25,76.0,3.76,0.05291332782150703,0.0
learned_single,0.0,0.05,5–<10%,25,25,96.0,3.96,0.013662821540751149,0.0
learned_single,0.0,0.05,≥10%,25,25,100.0,4.0,0.012109555302411432,0.0
learned_single,0.01,0.02,ALL_selected,100,2000,56.99999999999999,3.3025,0.04822759188601841,0.0
learned_single,0.01,0.02,<1%,25,500,14.000000000000002,2.388,0.10889284056011338,0.0
learned_single,0.01,0.02,1–<5%,25,500,47.2,3.2680000000000002,0.05175491353489171,0.0
learned_single,0.01,0.02,5–<10%,25,500,80.0,3.74,0.019423502538815328,0.0
learned_single,0.01,0.02,≥10%,25,500,86.80000000000001,3.8139999999999996,0.012839110910253233,0.0
learned_single,0.01,0.05,ALL_selected,100,2000,80.89999999999999,3.7675000000000005,0.04822759188601841,0.0
learned_single,0.01,0.05,<1%,25,500,50.8,3.3420000000000005,0.10889284056011338,0.0
learned_single,0.01,0.05,1–<5%,25,500,75.4,3.7539999999999996,0.05175491353489171,0.0
learned_single,0.01,0.05,5–<10%,25,500,97.4,3.9739999999999998,0.019423502538815328,0.0
learned_single,0.01,0.05,≥10%,25,500,100.0,4.0,0.012839110910253233,0.0
learned_single,0.05,0.02,ALL_selected,100,2000,25.15,2.612,0.06539289457302103,0.0
learned_single,0.05,0.02,<1%,25,500,8.399999999999999,2.008,0.12873238890749483,0.0
learned_single,0.05,0.02,1–<5%,25,500,20.0,2.5140000000000002,0.06482295060767801,0.0
learned_single,0.05,0.02,5–<10%,25,500,36.0,2.9760000000000004,0.03988722497701879,0.0
learned_single,0.05,0.02,≥10%,25,500,36.199999999999996,2.95,0.02812901379989257,0.0
learned_single,0.05,0.05,ALL_selected,100,2000,72.3,3.6235000000000004,0.06539289457302103,0.0
learned_single,0.05,0.05,<1%,25,500,42.2,3.1459999999999995,0.12873238890749483,0.0
learned_single,0.05,0.05,1–<5%,25,500,67.4,3.5959999999999996,0.06482295060767801,0.0
learned_single,0.05,0.05,5–<10%,25,500,88.6,3.8560000000000003,0.03988722497701879,0.0
learned_single,0.05,0.05,≥10%,25,500,91.0,3.8960000000000004,0.02812901379989257,0.0
learned_multi,0.0,0.02,ALL_selected,100,100,53.0,3.17,0.07677015208975828,0.0
learned_multi,0.0,0.02,<1%,25,25,8.0,2.16,0.14911291730315612,0.0
learned_multi,0.0,0.02,1–<5%,25,25,36.0,2.96,0.08392765377821007,0.0
learned_multi,0.0,0.02,5–<10%,25,25,68.0,3.56,0.06358896646142247,0.0
learned_multi,0.0,0.02,≥10%,25,25,100.0,4.0,0.010451070816244426,0.0
learned_multi,0.0,0.05,ALL_selected,100,100,63.0,3.51,0.07677015208975828,0.0
learned_multi,0.0,0.05,<1%,25,25,20.0,2.84,0.14911291730315612,0.0
learned_multi,0.0,0.05,1–<5%,25,25,60.0,3.48,0.08392765377821007,0.0
learned_multi,0.0,0.05,5–<10%,25,25,72.0,3.72,0.06358896646142247,0.0
learned_multi,0.0,0.05,≥10%,25,25,100.0,4.0,0.010451070816244426,0.0
learned_multi,0.01,0.02,ALL_selected,100,2000,48.9,3.1175000000000006,0.07939216681014952,0.0
learned_multi,0.01,0.02,<1%,25,500,7.8,2.086,0.15315995781940028,0.0
learned_multi,0.01,0.02,1–<5%,25,500,30.4,2.9359999999999995,0.08710570343012675,0.0
learned_multi,0.01,0.02,5–<10%,25,500,60.6,3.48,0.06554761184833054,0.0
learned_multi,0.01,0.02,≥10%,25,500,96.8,3.968,0.011755394142740502,0.0
learned_multi,0.01,0.05,ALL_selected,100,2000,62.55,3.498,0.07939216681014952,0.0
learned_multi,0.01,0.05,<1%,25,500,22.199999999999996,2.8079999999999994,0.15315995781940028,0.0
learned_multi,0.01,0.05,1–<5%,25,500,56.8,3.4760000000000004,0.08710570343012675,0.0
learned_multi,0.01,0.05,5–<10%,25,500,71.4,3.71,0.06554761184833054,0.0
