reference,candidate,initial_sigma,tolerance,gap_bin,n_layouts,n_rollouts,reference_success_percent,candidate_success_percent,delta_success_pp,rescued_rollouts,regressed_rollouts
learned_single,learned_multi,0.0,0.02,ALL_selected,100,100,59.0,53.0,-5.999999999999995,7,13
learned_single,learned_multi,0.0,0.02,<1%,25,25,16.0,8.0,-8.0,2,4
learned_single,learned_multi,0.0,0.02,1–<5%,25,25,52.0,36.0,-16.000000000000004,2,6
learned_single,learned_multi,0.0,0.02,5–<10%,25,25,80.0,68.0,-12.0,0,3
learned_single,learned_multi,0.0,0.02,≥10%,25,25,88.0,100.0,12.0,3,0
learned_single,learned_multi,0.0,0.05,ALL_selected,100,100,80.0,63.0,-17.000000000000004,4,21
learned_single,learned_multi,0.0,0.05,<1%,25,25,48.0,20.0,-27.999999999999996,1,8
learned_single,learned_multi,0.0,0.05,1–<5%,25,25,76.0,60.0,-16.000000000000004,3,7
learned_single,learned_multi,0.0,0.05,5–<10%,25,25,96.0,72.0,-24.0,0,6
learned_single,learned_multi,0.0,0.05,≥10%,25,25,100.0,100.0,0.0,0,0
learned_single,learned_multi,0.01,0.02,ALL_selected,100,2000,56.99999999999999,48.9,-8.099999999999996,149,311
learned_single,learned_multi,0.01,0.02,<1%,25,500,14.000000000000002,7.8,-6.200000000000001,39,70
learned_single,learned_multi,0.01,0.02,1–<5%,25,500,47.199999999999996,30.4,-16.799999999999997,41,125
learned_single,learned_multi,0.01,0.02,5–<10%,25,500,80.0,60.6,-19.400000000000006,8,105
learned_single,learned_multi,0.01,0.02,≥10%,25,500,86.8,96.8,9.999999999999998,61,11
learned_single,learned_multi,0.01,0.05,ALL_selected,100,2000,80.9,62.55,-18.350000000000012,88,455
learned_single,learned_multi,0.01,0.05,<1%,25,500,50.8,22.2,-28.6,39,182
learned_single,learned_multi,0.01,0.05,1–<5%,25,500,75.4,56.8,-18.600000000000005,49,142
learned_single,learned_multi,0.01,0.05,5–<10%,25,500,97.39999999999999,71.39999999999999,-26.0,0,130
learned_single,learned_multi,0.01,0.05,≥10%,25,500,100.0,99.8,-0.20000000000000018,0,1
learned_single,learned_multi,0.05,0.02,ALL_selected,100,2000,25.15,17.849999999999998,-7.300000000000001,121,267
learned_single,learned_multi,0.05,0.02,<1%,25,500,8.4,4.3999999999999995,-4.000000000000001,21,41
learned_single,learned_multi,0.05,0.02,1–<5%,25,500,20.0,10.2,-9.800000000000002,25,74
learned_single,learned_multi,0.05,0.02,5–<10%,25,500,36.0,21.6,-14.399999999999999,24,96
learned_single,learned_multi,0.05,0.02,≥10%,25,500,36.199999999999996,35.199999999999996,-1.0000000000000009,51,56
learned_single,learned_multi,0.05,0.05,ALL_selected,100,2000,72.3,47.55,-24.75,82,577
learned_single,learned_multi,0.05,0.05,<1%,25,500,42.199999999999996,13.8,-28.4,27,169
learned_single,learned_multi,0.05,0.05,1–<5%,25,500,67.4,34.0,-33.4,39,206
learned_single,learned_multi,0.05,0.05,5–<10%,25,500,88.6,55.60000000000001,-32.99999999999999,7,172
learned_single,learned_multi,0.05,0.05,≥10%,25,500,91.0,86.8,-4.200000000000004,9,30
analytic_single,analytic_multi,0.0,0.02,ALL_selected,100,100,100.0,51.0,-49.0,0,49
analytic_single,analytic_multi,0.0,0.02,<1%,25,25,100.0,0.0,-100.0,0,25
analytic_single,analytic_multi,0.0,0.02,1–<5%,25,25,100.0,4.0,-96.0,0,24
analytic_single,analytic_multi,0.0,0.02,5–<10%,25,25,100.0,100.0,0.0,0,0
analytic_single,analytic_multi,0.0,0.02,≥10%,25,25,100.0,100.0,0.0,0,0
analytic_single,analytic_multi,0.0,0.05,ALL_selected,100,100,100.0,54.0,-46.0,0,46
analytic_single,analytic_multi,0.0,0.05,<1%,25,25,100.0,8.0,-92.0,0,23
analytic_single,analytic_multi,0.0,0.05,1–<5%,25,25,100.0,8.0,-92.0,0,23
analytic_single,analytic_multi,0.0,0.05,5–<10%,25,25,100.0,100.0,0.0,0,0
analytic_single,analytic_multi,0.0,0.05,≥10%,25,25,100.0,100.0,0.0,0,0
analytic_single,analytic_multi,0.01,0.02,ALL_selected,100,2000,99.85000000000001,52.449999999999996,-47.400000000000006,0,948
analytic_single,analytic_multi,0.01,0.02,<1%,25,500,99.8,4.2,-95.6,0,478
analytic_single,analytic_multi,0.01,0.02,1–<5%,25,500,100.0,6.0,-94.0,0,470
analytic_single,analytic_multi,0.01,0.02,5–<10%,25,500,99.8,99.8,0.0,0,0
analytic_single,analytic_multi,0.01,0.02,≥10%,25,500,99.8,99.8,0.0,0,0
analytic_single,analytic_multi,0.01,0.05,ALL_selected,100,2000,100.0,58.75,-41.25,0,825
analytic_single,analytic_multi,0.01,0.05,<1%,25,500,100.0,14.799999999999999,-85.2,0,426
analytic_single,analytic_multi,0.01,0.05,1–<5%,25,500,100.0,20.200000000000003,-79.80000000000001,0,399
analytic_single,analytic_multi,0.01,0.05,5–<10%,25,500,100.0,100.0,0.0,0,0
analytic_single,analytic_multi,0.01,0.05,≥10%,25,500,100.0,100.0,0.0,0,0
analytic_single,analytic_multi,0.05,0.02,ALL_selected,100,2000,50.6,28.65,-21.950000000000003,26,465
analytic_single,analytic_multi,0.05,0.02,<1%,25,500,53.6,7.6,-46.0,14,244
analytic_single,analytic_multi,0.05,0.02,1–<5%,25,500,49.8,8.0,-41.8,12,221
analytic_single,analytic_multi,0.05,0.02,5–<10%,25,500,50.8,50.8,0.0,0,0
analytic_single,analytic_multi,0.05,0.02,≥10%,25,500,48.199999999999996,48.199999999999996,0.0,0,0
analytic_single,analytic_multi,0.05,0.05,ALL_selected,100,2000,93.55,54.2,-39.349999999999994,5,792
analytic_single,analytic_multi,0.05,0.05,<1%,25,500,94.6,14.2,-80.39999999999999,2,404
analytic_single,analytic_multi,0.05,0.05,1–<5%,25,500,94.19999999999999,17.2,-77.0,3,388
