method,layout_index,gap_bin,initial_sigma,tolerance,n_trials,success_rate,mean_visited,mean_worst_distance,nonfinite_rate
learned_single,3,≥10%,0.0,0.02,1,1.0,4.0,0.012263193623372363,0.0
learned_single,3,≥10%,0.0,0.05,1,1.0,4.0,0.012263193623372363,0.0
learned_single,3,≥10%,0.01,0.02,20,1.0,4.0,0.012781540714218045,0.0
learned_single,3,≥10%,0.01,0.05,20,1.0,4.0,0.012781540714218045,0.0
learned_single,3,≥10%,0.05,0.02,20,0.4,3.25,0.02224155894366537,0.0
learned_single,3,≥10%,0.05,0.05,20,1.0,4.0,0.02224155894366537,0.0
learned_single,8,5–<10%,0.0,0.02,1,1.0,4.0,0.009384998302591091,0.0
learned_single,8,5–<10%,0.0,0.05,1,1.0,4.0,0.009384998302591091,0.0
learned_single,8,5–<10%,0.01,0.02,20,1.0,4.0,0.010287269715778504,0.0
learned_single,8,5–<10%,0.01,0.05,20,1.0,4.0,0.010287269715778504,0.0
learned_single,8,5–<10%,0.05,0.02,20,0.45,3.2,0.024780360606479226,0.0
learned_single,8,5–<10%,0.05,0.05,20,0.95,3.95,0.024780360606479226,0.0
learned_single,15,≥10%,0.0,0.02,1,1.0,4.0,0.008669755419021406,0.0
learned_single,15,≥10%,0.0,0.05,1,1.0,4.0,0.008669755419021406,0.0
learned_single,15,≥10%,0.01,0.02,20,1.0,4.0,0.010201745882272639,0.0
learned_single,15,≥10%,0.01,0.05,20,1.0,4.0,0.010201745882272639,0.0
learned_single,15,≥10%,0.05,0.02,20,0.35,3.1,0.03239739531192067,0.0
learned_single,15,≥10%,0.05,0.05,20,0.85,3.85,0.03239739531192067,0.0
learned_single,28,≥10%,0.0,0.02,1,0.0,3.0,0.02053508260285667,0.0
learned_single,28,≥10%,0.0,0.05,1,1.0,4.0,0.02053508260285667,0.0
learned_single,28,≥10%,0.01,0.02,20,0.45,3.45,0.020852922611317645,0.0
learned_single,28,≥10%,0.01,0.05,20,1.0,4.0,0.020852922611317645,0.0
learned_single,28,≥10%,0.05,0.02,20,0.35,2.8,0.03612093492129337,0.0
learned_single,28,≥10%,0.05,0.05,20,0.8,3.75,0.03612093492129337,0.0
learned_single,40,5–<10%,0.0,0.02,1,1.0,4.0,0.017529920049495953,0.0
learned_single,40,5–<10%,0.0,0.05,1,1.0,4.0,0.017529920049495953,0.0
learned_single,40,5–<10%,0.01,0.02,20,0.65,3.65,0.018558390233589486,0.0
learned_single,40,5–<10%,0.01,0.05,20,1.0,4.0,0.018558390233589486,0.0
learned_single,40,5–<10%,0.05,0.02,20,0.4,2.9,0.031994283471144254,0.0
learned_single,40,5–<10%,0.05,0.05,20,0.8,3.75,0.031994283471144254,0.0
learned_single,43,<1%,0.0,0.02,1,0.0,2.0,0.026532745624527596,0.0
learned_single,43,<1%,0.0,0.05,1,1.0,4.0,0.026532745624527596,0.0
learned_single,43,<1%,0.01,0.02,20,0.0,2.0,0.02645786186207042,0.0
learned_single,43,<1%,0.01,0.05,20,1.0,4.0,0.02645786186207042,0.0
learned_single,43,<1%,0.05,0.02,20,0.0,2.15,0.03182590537800816,0.0
learned_single,43,<1%,0.05,0.05,20,0.95,3.95,0.03182590537800816,0.0
learned_single,45,≥10%,0.0,0.02,1,1.0,4.0,0.015807192991048193,0.0
learned_single,45,≥10%,0.0,0.05,1,1.0,4.0,0.015807192991048193,0.0
learned_single,45,≥10%,0.01,0.02,20,0.85,3.85,0.015584862497370169,0.0
learned_single,45,≥10%,0.01,0.05,20,1.0,4.0,0.015584862497370169,0.0
learned_single,45,≥10%,0.05,0.02,20,0.3,2.95,0.03235367398785352,0.0
learned_single,45,≥10%,0.05,0.05,20,0.8,3.7,0.03235367398785352,0.0
learned_single,47,5–<10%,0.0,0.02,1,1.0,4.0,0.010979848015055946,0.0
learned_single,47,5–<10%,0.0,0.05,1,1.0,4.0,0.010979848015055946,0.0
learned_single,47,5–<10%,0.01,0.02,20,1.0,4.0,0.011857493206920668,0.0
learned_single,47,5–<10%,0.01,0.05,20,1.0,4.0,0.011857493206920668,0.0
learned_single,47,5–<10%,0.05,0.02,20,0.3,2.95,0.027327794846285024,0.0
learned_single,47,5–<10%,0.05,0.05,20,0.9,3.9,0.027327794846285024,0.0
learned_single,80,≥10%,0.0,0.02,1,1.0,4.0,0.002466841288975371,0.0
learned_single,80,≥10%,0.0,0.05,1,1.0,4.0,0.002466841288975371,0.0
learned_single,80,≥10%,0.01,0.02,20,1.0,4.0,0.00423797905352503,0.0
learned_single,80,≥10%,0.01,0.05,20,1.0,4.0,0.00423797905352503,0.0
learned_single,80,≥10%,0.05,0.02,20,0.65,3.65,0.019580019927957788,0.0
