layout_index,in_sample,gap_percent,gap_bin,n_candidates
3,True,14.195852215374183,≥10%,1
8,True,5.331474708526156,5–<10%,1
11,False,2.950675184677567,1–<5%,2
12,False,4.209202621199474,1–<5%,3
13,False,6.603106762431123,5–<10%,1
15,True,14.562346224132924,≥10%,1
20,False,1.2884363003385566,1–<5%,3
28,True,14.358814176609716,≥10%,1
31,False,11.134269328850838,≥10%,1
40,True,8.322516803716281,5–<10%,1
43,True,0.7855193616940298,<1%,3
45,True,15.652808162483561,≥10%,1
47,True,7.534490595084735,5–<10%,1
80,True,10.05079756005045,≥10%,1
83,True,11.078498080319745,≥10%,1
86,True,10.02820019398373,≥10%,1
101,True,0.7494035500969325,<1%,2
117,True,0.307658357667404,<1%,3
140,True,3.9455224664604875,1–<5%,2
149,True,0.6884553394959876,<1%,4
154,True,16.708105881692674,≥10%,1
165,True,1.3741147271240406,1–<5%,3
174,True,0.5449261941499001,<1%,2
185,True,0.3098803887270494,<1%,5
186,True,3.6453051614395986,1–<5%,2
187,True,1.538416200759337,1–<5%,2
236,True,11.087489028914106,≥10%,1
246,True,24.00968775397882,≥10%,1
248,True,10.516737965501994,≥10%,1
250,True,14.666478366294596,≥10%,1
281,True,4.577241545305448,1–<5%,2
312,True,3.020868637512643,1–<5%,2
322,True,14.795003570203166,≥10%,1
329,True,4.495879538412815,1–<5%,2
332,True,0.15642711016943348,<1%,2
353,True,9.319071151076027,5–<10%,1
363,True,0.7294960745809814,<1%,2
364,True,6.548576207224454,5–<10%,1
366,True,0.418208689280679,<1%,3
379,True,0.23550698118459043,<1%,4
391,True,1.2760617189156362,1–<5%,3
418,True,3.0947959284177475,1–<5%,2
428,True,2.5992033139839545,1–<5%,2
434,True,9.892222666958318,5–<10%,1
437,True,0.7907374503202359,<1%,6
448,True,7.289792104463713,5–<10%,1
450,True,8.219873813161147,5–<10%,1
456,True,15.882426429631645,≥10%,1
492,True,8.10018318020788,5–<10%,1
494,True,1.0391391177161569,1–<5%,4
506,True,8.590735145449695,5–<10%,1
531,True,3.4407957715101243,1–<5%,2
532,True,2.6760806289904067,1–<5%,2
536,True,5.107596334364486,5–<10%,1
547,True,5.150910846533712,5–<10%,1
564,True,27.436619514228543,≥10%,1
573,True,1.5365454027195575,1–<5%,2
575,True,6.193707897749574,5–<10%,1
579,True,0.19677876751828588,<1%,2
591,True,17.122766825872308,≥10%,1
601,True,7.669167018272668,5–<10%,1
606,True,0.6292891257963469,<1%,3
607,True,2.472444218633581,1–<5%,3
641,True,12.122275897003956,≥10%,1
647,True,0.7250162022611367,<1%,4
648,True,7.869213703121788,5–<10%,1
660,True,0.8410382801301565,<1%,3
690,True,0.24882735535982145,<1%,3
710,True,0.696593073865719,<1%,3
712,True,9.459526350917315,5–<10%,1
722,True,0.5882406019554215,<1%,3
731,True,0.16779682548254038,<1%,2
749,True,0.1049567955158316,<1%,3
776,True,6.1811849386942415,5–<10%,1
777,True,2.819408882411579,1–<5%,2
784,True,9.158583996832311,5–<10%,1
789,True,6.30411347559779,5–<10%,1
792,True,8.77467324034803,5–<10%,1
797,True,4.816414453621706,1–<5%,2
804,True,21.7627755810782,≥10%,1
815,True,0.8020767393319486,<1%,3
820,True,0.19004055754950003,<1%,2
822,True,7.305049496589954,5–<10%,1
841,True,19.68704575672133,≥10%,1
851,True,2.1041070289720567,1–<5%,2
870,True,11.36119213984159,≥10%,1
877,True,6.0724060020342945,5–<10%,1
884,True,16.712891037458977,≥10%,1
887,True,0.3898728472219019,<1%,4
888,True,9.442329587982618,5–<10%,1
896,True,12.612114165162211,≥10%,1
899,True,12.302959003714438,≥10%,1
904,True,7.969415705416788,5–<10%,1
912,True,1.9471884323218809,1–<5%,4
930,True,2.734794214588924,1–<5%,2
931,True,4.546645294731375,1–<5%,2
938,True,11.015767872680659,≥10%,1
939,True,4.323129946598923,1–<5%,2
944,True,4.08949443207416,1–<5%,3
946,True,7.7658799070424225,5–<10%,1
950,True,3.6405625339057925,1–<5%,2
954,True,0.27071468631225715,<1%,2
967,True,19.700098707896284,≥10%,1
982,True,2.8592411278979433,1–<5%,2
993,True,0.43365940408650583,<1%,2
