method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
learned_single,3,≥10%,0.0,0.02,2→1→4→3,1
learned_single,3,≥10%,0.0,0.05,2→1→4→3,1
learned_single,3,≥10%,0.01,0.02,2→1→4→3,20
learned_single,3,≥10%,0.01,0.05,2→1→4→3,20
learned_single,3,≥10%,0.05,0.02,2→1→4→3,8
learned_single,3,≥10%,0.05,0.05,2→1→4→3,20
learned_single,8,5–<10%,0.0,0.02,4→2→3→1,1
learned_single,8,5–<10%,0.0,0.05,4→2→3→1,1
learned_single,8,5–<10%,0.01,0.02,4→2→3→1,20
learned_single,8,5–<10%,0.01,0.05,4→2→3→1,20
learned_single,8,5–<10%,0.05,0.05,4→2→3→1,19
learned_single,8,5–<10%,0.05,0.02,4→2→3→1,9
learned_single,15,≥10%,0.0,0.02,1→3→4→2,1
learned_single,15,≥10%,0.0,0.05,1→3→4→2,1
learned_single,15,≥10%,0.01,0.02,1→3→4→2,20
learned_single,15,≥10%,0.01,0.05,1→3→4→2,20
learned_single,15,≥10%,0.05,0.02,1→3→4→2,7
learned_single,15,≥10%,0.05,0.05,1→3→4→2,17
learned_single,28,≥10%,0.0,0.05,4→3→2→1,1
learned_single,28,≥10%,0.01,0.05,4→3→2→1,20
learned_single,28,≥10%,0.01,0.02,4→3→2→1,9
learned_single,28,≥10%,0.05,0.05,4→3→2→1,16
learned_single,28,≥10%,0.05,0.02,4→3→2→1,7
learned_single,40,5–<10%,0.0,0.02,4→2→3→1,1
learned_single,40,5–<10%,0.0,0.05,4→2→3→1,1
learned_single,40,5–<10%,0.01,0.05,4→2→3→1,20
learned_single,40,5–<10%,0.01,0.02,4→2→3→1,13
learned_single,40,5–<10%,0.05,0.02,4→2→3→1,8
learned_single,40,5–<10%,0.05,0.05,4→2→3→1,16
learned_single,43,<1%,0.0,0.05,3→4→2→1,1
learned_single,43,<1%,0.01,0.05,3→4→2→1,20
learned_single,43,<1%,0.05,0.05,3→4→2→1,19
learned_single,45,≥10%,0.0,0.02,4→2→1→3,1
learned_single,45,≥10%,0.0,0.05,4→2→1→3,1
learned_single,45,≥10%,0.01,0.02,4→2→1→3,17
learned_single,45,≥10%,0.01,0.05,4→2→1→3,20
learned_single,45,≥10%,0.05,0.02,4→2→1→3,6
learned_single,45,≥10%,0.05,0.05,4→2→1→3,16
learned_single,47,5–<10%,0.0,0.02,4→2→3→1,1
learned_single,47,5–<10%,0.0,0.05,4→2→3→1,1
learned_single,47,5–<10%,0.01,0.02,4→2→3→1,20
learned_single,47,5–<10%,0.01,0.05,4→2→3→1,20
learned_single,47,5–<10%,0.05,0.05,4→2→3→1,18
learned_single,47,5–<10%,0.05,0.02,4→2→3→1,6
learned_single,80,≥10%,0.0,0.02,3→4→2→1,1
learned_single,80,≥10%,0.0,0.05,3→4→2→1,1
learned_single,80,≥10%,0.01,0.02,3→4→2→1,20
learned_single,80,≥10%,0.01,0.05,3→4→2→1,20
learned_single,80,≥10%,0.05,0.02,3→4→2→1,13
learned_single,80,≥10%,0.05,0.05,3→4→2→1,20
learned_single,83,≥10%,0.0,0.02,4→3→1→2,1
learned_single,83,≥10%,0.0,0.05,4→3→1→2,1
learned_single,83,≥10%,0.01,0.02,4→3→1→2,20
learned_single,83,≥10%,0.01,0.05,4→3→1→2,20
learned_single,83,≥10%,0.05,0.05,4→3→1→2,18
learned_single,83,≥10%,0.05,0.02,4→3→1→2,6
learned_single,86,≥10%,0.0,0.02,2→3→4→1,1
learned_single,86,≥10%,0.0,0.05,2→3→4→1,1
learned_single,86,≥10%,0.01,0.02,2→3→4→1,20
learned_single,86,≥10%,0.01,0.05,2→3→4→1,20
learned_single,86,≥10%,0.05,0.02,2→3→4→1,14
learned_single,86,≥10%,0.05,0.05,2→3→4→1,20
learned_single,101,<1%,0.0,0.05,2→1→3→4,1
learned_single,101,<1%,0.01,0.05,2→1→3→4,20
learned_single,101,<1%,0.05,0.05,2→1→3→4,18
learned_single,117,<1%,0.0,0.05,2→3→1→4,1
learned_single,117,<1%,0.01,0.05,2→3→1→4,19
learned_single,117,<1%,0.05,0.05,2→3→1→4,9
learned_single,117,<1%,0.05,0.02,4→1→2→3,1
learned_single,117,<1%,0.05,0.05,4→1→2→3,1
learned_single,140,1–<5%,0.0,0.02,3→2→1→4,1
learned_single,140,1–<5%,0.0,0.05,3→2→1→4,1
learned_single,140,1–<5%,0.01,0.02,3→2→1→4,20
learned_single,140,1–<5%,0.01,0.05,3→2→1→4,20
learned_single,140,1–<5%,0.05,0.02,3→2→1→4,11
learned_single,140,1–<5%,0.05,0.05,3→2→1→4,20
learned_single,149,<1%,0.01,0.05,3→2→1→4,4
learned_single,149,<1%,0.05,0.05,3→2→1→4,3
learned_single,154,≥10%,0.0,0.02,3→1→4→2,1
learned_single,154,≥10%,0.0,0.05,3→1→4→2,1
learned_single,154,≥10%,0.01,0.02,3→1→4→2,20
learned_single,154,≥10%,0.01,0.05,3→1→4→2,20
learned_single,154,≥10%,0.05,0.05,3→1→4→2,17
learned_single,154,≥10%,0.05,0.02,3→1→4→2,3
learned_single,165,1–<5%,0.0,0.02,3→4→1→2,1
learned_single,165,1–<5%,0.0,0.05,3→4→1→2,1
learned_single,165,1–<5%,0.01,0.05,3→4→1→2,20
learned_single,165,1–<5%,0.01,0.02,3→4→1→2,16
learned_single,165,1–<5%,0.05,0.05,3→4→1→2,20
