trial_id,layout_index,initial_sigma,repeat_index,offset_x,offset_y,in_sample,gap_bin,gap_percent,n_candidates
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1
6,3,0.01,5,-0.015055134327006102,-0.00764284084793394,True,≥10%,14.195852215374183,1
7,3,0.01,6,-0.005120747084111222,0.0073168727781957885,True,≥10%,14.195852215374183,1
8,3,0.01,7,-0.001967928747486524,0.019652352097213707,True,≥10%,14.195852215374183,1
9,3,0.01,8,0.01186821236204282,0.0033815189156039226,True,≥10%,14.195852215374183,1
10,3,0.01,9,0.0011505149030710533,-0.009625017651114393,True,≥10%,14.195852215374183,1
11,3,0.01,10,-0.008001644496419002,0.005607766765129474,True,≥10%,14.195852215374183,1
12,3,0.01,11,-0.005138485894271163,0.02873660363851579,True,≥10%,14.195852215374183,1
13,3,0.01,12,0.0014817312582227622,-0.00023988335951168044,True,≥10%,14.195852215374183,1
14,3,0.01,13,0.011188461427124364,0.0003963283830844185,True,≥10%,14.195852215374183,1
15,3,0.01,14,-0.012067183423443918,0.00994695191312355,True,≥10%,14.195852215374183,1
16,3,0.01,15,-0.003796278115433177,0.00237609431684628,True,≥10%,14.195852215374183,1
17,3,0.01,16,0.010832094478477952,-0.01903430753023943,True,≥10%,14.195852215374183,1
18,3,0.01,17,-0.0008114365755960317,0.008824500699858998,True,≥10%,14.195852215374183,1
19,3,0.01,18,0.012686795069843526,-0.010094694038534,True,≥10%,14.195852215374183,1
20,3,0.01,19,-0.015335221898082547,-0.011868920569632404,True,≥10%,14.195852215374183,1
21,3,0.05,0,-0.04006101217078212,-0.01685911325616722,True,≥10%,14.195852215374183,1
22,3,0.05,1,-0.03443051311491614,0.06525317341805062,True,≥10%,14.195852215374183,1
23,3,0.05,2,0.07534466848535523,0.022787028680526178,True,≥10%,14.195852215374183,1
24,3,0.05,3,0.08794861082753574,0.0208116093412879,True,≥10%,14.195852215374183,1
25,3,0.05,4,-0.002398049299418465,0.0328787055409757,True,≥10%,14.195852215374183,1
26,3,0.05,5,-0.07527567163503052,-0.0382142042396697,True,≥10%,14.195852215374183,1
27,3,0.05,6,-0.025603735420556106,0.036584363890978945,True,≥10%,14.195852215374183,1
28,3,0.05,7,-0.009839643737432619,0.09826176048606855,True,≥10%,14.195852215374183,1
29,3,0.05,8,0.059341061810214105,0.016907594578019613,True,≥10%,14.195852215374183,1
30,3,0.05,9,0.005752574515355267,-0.04812508825557196,True,≥10%,14.195852215374183,1
31,3,0.05,10,-0.04000822248209501,0.02803883382564737,True,≥10%,14.195852215374183,1
32,3,0.05,11,-0.025692429471355818,0.14368301819257895,True,≥10%,14.195852215374183,1
33,3,0.05,12,0.007408656291113811,-0.0011994167975584022,True,≥10%,14.195852215374183,1
34,3,0.05,13,0.055942307135621816,0.001981641915422093,True,≥10%,14.195852215374183,1
35,3,0.05,14,-0.060335917117219584,0.04973475956561775,True,≥10%,14.195852215374183,1
36,3,0.05,15,-0.018981390577165885,0.011880471584231401,True,≥10%,14.195852215374183,1
37,3,0.05,16,0.05416047239238976,-0.09517153765119714,True,≥10%,14.195852215374183,1
38,3,0.05,17,-0.0040571828779801585,0.044122503499294995,True,≥10%,14.195852215374183,1
39,3,0.05,18,0.06343397534921763,-0.050473470192670004,True,≥10%,14.195852215374183,1
40,3,0.05,19,-0.07667610949041274,-0.05934460284816202,True,≥10%,14.195852215374183,1
41,8,0.0,0,0.0,0.0,True,5–<10%,5.331474708526156,1
42,8,0.01,0,0.012293330684739614,0.0005238309819722882,True,5–<10%,5.331474708526156,1
43,8,0.01,1,-0.004967323292637212,0.01223210416201263,True,5–<10%,5.331474708526156,1
44,8,0.01,2,-0.010678806806217104,-0.016490232290575082,True,5–<10%,5.331474708526156,1
45,8,0.01,3,0.0032470637162248317,-0.005792921148103084,True,5–<10%,5.331474708526156,1
46,8,0.01,4,-0.00046399482579123223,-0.0050151083472847495,True,5–<10%,5.331474708526156,1
47,8,0.01,5,0.003104957949340747,0.005879509221586745,True,5–<10%,5.331474708526156,1
48,8,0.01,6,-0.0028540680475548316,-0.0022738301778759957,True,5–<10%,5.331474708526156,1
49,8,0.01,7,-0.009773137942967348,0.007477572052126373,True,5–<10%,5.331474708526156,1
50,8,0.01,8,-0.001987368759212435,0.002841760451477085,True,5–<10%,5.331474708526156,1
51,8,0.01,9,0.005432246889827303,0.015610778356136903,True,5–<10%,5.331474708526156,1
52,8,0.01,10,0.013982759501214312,-0.007180099726501028,True,5–<10%,5.331474708526156,1
53,8,0.01,11,-0.003311014493980256,0.01715633688003916,True,5–<10%,5.331474708526156,1
54,8,0.01,12,0.0013049833335501996,0.016087358623074633,True,5–<10%,5.331474708526156,1
55,8,0.01,13,0.006858458732363479,-0.009358829840985442,True,5–<10%,5.331474708526156,1
56,8,0.01,14,0.019375371617306406,-0.012217128285898578,True,5–<10%,5.331474708526156,1
57,8,0.01,15,-0.012426721387106175,0.0030332319140445006,True,5–<10%,5.331474708526156,1
58,8,0.01,16,-0.008994428604458466,0.005432490324727594,True,5–<10%,5.331474708526156,1
59,8,0.01,17,0.016344705372712258,0.008065752741281181,True,5–<10%,5.331474708526156,1
60,8,0.01,18,-0.018869888256634413,0.0005764574175724647,True,5–<10%,5.331474708526156,1
61,8,0.01,19,-0.006417217439090719,-0.00576142448592934,True,5–<10%,5.331474708526156,1
62,8,0.05,0,0.06146665342369807,0.002619154909861441,True,5–<10%,5.331474708526156,1
63,8,0.05,1,-0.024836616463186065,0.06116052081006315,True,5–<10%,5.331474708526156,1
64,8,0.05,2,-0.05339403403108553,-0.08245116145287541,True,5–<10%,5.331474708526156,1
65,8,0.05,3,0.016235318581124158,-0.02896460574051542,True,5–<10%,5.331474708526156,1
66,8,0.05,4,-0.002319974128956161,-0.025075541736423748,True,5–<10%,5.331474708526156,1
67,8,0.05,5,0.015524789746703736,0.029397546107933728,True,5–<10%,5.331474708526156,1
68,8,0.05,6,-0.014270340237774157,-0.011369150889379979,True,5–<10%,5.331474708526156,1
69,8,0.05,7,-0.048865689714836735,0.037387860260631865,True,5–<10%,5.331474708526156,1
70,8,0.05,8,-0.009936843796062175,0.014208802257385425,True,5–<10%,5.331474708526156,1
71,8,0.05,9,0.027161234449136512,0.07805389178068452,True,5–<10%,5.331474708526156,1
72,8,0.05,10,0.06991379750607156,-0.03590049863250514,True,5–<10%,5.331474708526156,1
73,8,0.05,11,-0.01655507246990128,0.0857816844001958,True,5–<10%,5.331474708526156,1
74,8,0.05,12,0.006524916667750998,0.08043679311537316,True,5–<10%,5.331474708526156,1
75,8,0.05,13,0.0342922936618174,-0.04679414920492721,True,5–<10%,5.331474708526156,1
76,8,0.05,14,0.09687685808653204,-0.06108564142949289,True,5–<10%,5.331474708526156,1
77,8,0.05,15,-0.062133606935530876,0.015166159570222505,True,5–<10%,5.331474708526156,1
78,8,0.05,16,-0.04497214302229233,0.02716245162363797,True,5–<10%,5.331474708526156,1
79,8,0.05,17,0.0817235268635613,0.0403287637064059,True,5–<10%,5.331474708526156,1
80,8,0.05,18,-0.09434944128317208,0.0028822870878623236,True,5–<10%,5.331474708526156,1
81,8,0.05,19,-0.0320860871954536,-0.028807122429646705,True,5–<10%,5.331474708526156,1
82,11,0.0,0,0.0,0.0,False,1–<5%,2.950675184677567,2
83,11,0.01,0,-0.009754040144772814,-0.008430224544542394,False,1–<5%,2.950675184677567,2
84,11,0.01,1,0.007609471856660565,0.010149102398500635,False,1–<5%,2.950675184677567,2
85,11,0.01,2,0.0053790354277611346,0.011401163151959331,False,1–<5%,2.950675184677567,2
86,11,0.01,3,0.003106413863965793,-0.014341866936948016,False,1–<5%,2.950675184677567,2
87,11,0.01,4,0.0070952210662518144,0.01351662976832607,False,1–<5%,2.950675184677567,2
88,11,0.01,5,-0.017511806441235525,-0.008933527247509503,False,1–<5%,2.950675184677567,2
89,11,0.01,6,0.00037798487248920224,-0.027081063712346195,False,1–<5%,2.950675184677567,2
90,11,0.01,7,0.007086073816621214,0.0100927734395323,False,1–<5%,2.950675184677567,2
91,11,0.01,8,-0.010777914040318222,-0.005811094626099652,False,1–<5%,2.950675184677567,2
