budget,mode,tolerance,gap_bin,n_seeds,n_layouts_per_seed,success_mean_percent,success_sd_pp,worst_distance_mean
10000,multi,0.02,ALL,1,1000,53.800000000000004,,0.06777326677419247
10000,multi,0.02,<1%,1,118,4.23728813559322,,0.1561354333570132
10000,multi,0.02,1–<5%,1,325,25.846153846153847,,0.10610713085581949
10000,multi,0.02,5–<10%,1,261,68.5823754789272,,0.041214589558834905
10000,multi,0.02,≥10%,1,296,91.21621621621621,,0.013876554848201614
10000,multi,0.05,ALL,1,1000,70.1,,0.06777326677419247
10000,multi,0.05,<1%,1,118,20.33898305084746,,0.1561354333570132
10000,multi,0.05,1–<5%,1,325,50.76923076923077,,0.10610713085581949
10000,multi,0.05,5–<10%,1,261,84.67432950191571,,0.041214589558834905
10000,multi,0.05,≥10%,1,296,98.3108108108108,,0.013876554848201614
10000,single,0.02,ALL,1,1000,65.5,,0.036807354204137985
10000,single,0.02,<1%,1,118,17.796610169491526,,0.09962180913659624
10000,single,0.02,1–<5%,1,325,51.07692307692307,,0.05254543879457369
10000,single,0.02,5–<10%,1,261,80.45977011494253,,0.016951003877872226
10000,single,0.02,≥10%,1,296,87.16216216216216,,0.01199493616776532
10000,single,0.05,ALL,1,1000,84.6,,0.036807354204137985
10000,single,0.05,<1%,1,118,46.61016949152542,,0.09962180913659624
10000,single,0.05,1–<5%,1,325,75.38461538461539,,0.05254543879457369
10000,single,0.05,5–<10%,1,261,96.93486590038314,,0.016951003877872226
10000,single,0.05,≥10%,1,296,98.98648648648648,,0.01199493616776532
