budget,tolerance,gap_bin,n_seeds,delta_success_mean_pp,delta_success_sd_pp,rescued_mean,regressed_mean
10000,0.02,ALL,1,-11.7,,69.0,186.0
10000,0.02,<1%,1,-13.559322033898304,,4.0,20.0
10000,0.02,1–<5%,1,-25.23076923076923,,23.0,105.0
10000,0.02,5–<10%,1,-11.877394636015326,,17.0,48.0
10000,0.02,≥10%,1,4.054054054054054,,25.0,13.0
10000,0.05,ALL,1,-14.5,,36.0,181.0
10000,0.05,<1%,1,-26.271186440677965,,8.0,39.0
10000,0.05,1–<5%,1,-24.615384615384617,,23.0,103.0
10000,0.05,5–<10%,1,-12.260536398467433,,3.0,35.0
10000,0.05,≥10%,1,-0.6756756756756757,,2.0,4.0
