budget,seed,tolerance,gap_bin,n_layouts,rescued,regressed,both_success,both_failure,delta_success_pp,common_success_length_ratio_delta,common_unambiguous_order_count,common_success_order_excess_delta_pp
10000,0,0.02,ALL,1000,69,186,469,276,-11.7,-0.0024847657027155666,469,-0.001066374147509994
10000,0,0.02,<1%,118,4,20,1,93,-13.559322033898304,-0.009001170851189233,1,-0.5001294751821872
10000,0,0.02,1–<5%,325,23,105,61,136,-25.23076923076923,-0.008171171809758066,61,0.0
10000,0,0.02,5–<10%,261,17,48,162,34,-11.877394636015326,-0.0032100409926970664,162,0.0
10000,0,0.02,≥10%,296,25,13,245,13,4.054054054054054,-0.0005627992755520188,245,0.0
10000,0,0.05,ALL,1000,36,181,665,118,-14.5,-0.0058411784817840005,665,-0.0018065928716383688
10000,0,0.05,<1%,118,8,39,16,55,-26.271186440677965,-0.011918142384372471,16,-0.028303318303359026
10000,0,0.05,1–<5%,325,23,103,142,57,-24.615384615384617,-0.015261496659007823,142,-0.0052713462449702165
10000,0,0.05,5–<10%,261,3,35,218,5,-12.260536398467433,-0.0062613048937980075,218,0.0
10000,0,0.05,≥10%,296,2,4,289,1,-0.6756756756756757,-0.0005591571619699782,289,0.0
