budget,seed,mode,tolerance,gap_bin,n_layouts,n_success,success_percent,mean_visited,mean_worst_distance,success_mean_length_ratio,success_mean_order_excess_percent,success_ambiguous_order_count
10000,0,multi,0.02,ALL,1000,538,53.800000000000004,3.251,0.06777326677419247,0.996529777936196,0.0015361831268418187,0
10000,0,multi,0.02,<1%,118,5,4.23728813559322,2.2457627118644066,0.1561354333570132,0.9810741105685828,0.1652933044481797,0
10000,0,multi,0.02,1–<5%,325,84,25.846153846153847,2.7784615384615385,0.10610713085581949,0.9883620071489628,0.0,0
10000,0,multi,0.02,5–<10%,261,179,68.5823754789272,3.57088122605364,0.041214589558834905,0.9950450308198914,0.0,0
10000,0,multi,0.02,≥10%,296,270,91.21621621621621,3.8885135135135136,0.013876554848201614,1.0003414105909525,0.0,0
10000,0,multi,0.05,ALL,1000,701,70.1,3.614,0.06777326677419247,0.9906875519321692,0.01315917372987803,0
10000,0,multi,0.05,<1%,118,24,20.33898305084746,2.940677966101695,0.1561354333570132,0.9662278224664141,0.18422766706454596,0
10000,0,multi,0.05,1–<5%,325,165,50.76923076923077,3.3630769230769233,0.10610713085581949,0.9772158479829927,0.02910979863694179,0
10000,0,multi,0.05,5–<10%,261,221,84.67432950191571,3.8160919540229883,0.041214589558834905,0.9915273133629522,0.0,0
10000,0,multi,0.05,≥10%,296,291,98.3108108108108,3.97972972972973,0.013876554848201614,0.9997056872675273,0.0,0
10000,0,single,0.02,ALL,1000,655,65.5,3.434,0.036807354204137985,0.9982706981701763,0.007926819162234108,0
10000,0,single,0.02,<1%,118,21,17.796610169491526,2.5084745762711864,0.09962180913659624,0.9929893418489308,0.06723142600617676,0
10000,0,single,0.02,1–<5%,325,166,51.07692307692307,3.193846153846154,0.05254543879457369,0.9952885938232559,0.02277232894658813,0
10000,0,single,0.02,5–<10%,261,210,80.45977011494253,3.7279693486590038,0.016951003877872226,0.9978143968201412,0.0,0
10000,0,single,0.02,≥10%,296,258,87.16216216216216,3.8074324324324325,0.01199493616776532,1.0009907023866198,0.0,0
10000,0,single,0.05,ALL,1000,846,84.6,3.8,0.036807354204137985,0.9946191428090695,0.021149584362698187,0
10000,0,single,0.05,<1%,118,55,46.61016949152542,3.2796610169491527,0.09962180913659624,0.9756215259120077,0.12459200067011945,0
10000,0,single,0.05,1–<5%,325,245,75.38461538461539,3.686153846153846,0.05254543879457369,0.9900178335845973,0.045061176873412635,0
10000,0,single,0.05,5–<10%,261,253,96.93486590038314,3.9655172413793105,0.016951003877872226,0.9965694215822868,0.0,0
10000,0,single,0.05,≥10%,296,293,98.98648648648648,3.9864864864864864,0.01199493616776532,1.000348730384872,0.0,0
