budget,seed,mode,tolerance,gap_bin,n_layouts,n_success,success_percent,mean_visited,mean_worst_distance,success_mean_length_ratio,success_mean_order_excess_percent,success_ambiguous_order_count
20000,0,multi,0.02,ALL,1000,564,56.39999999999999,3.326,0.05853833892215745,0.9965984129893696,0.0019319284241543137,0
20000,0,multi,0.02,<1%,118,7,5.932203389830509,2.364406779661017,0.13373413486913296,0.9876340107026991,0.15565823303186185,0
20000,0,multi,0.02,1–<5%,325,86,26.461538461538463,2.8676923076923075,0.10005414667405486,0.9893871169896149,0.0,0
20000,0,multi,0.02,5–<10%,261,194,74.32950191570882,3.67816091954023,0.025715164679169608,0.9952753403049079,0.0,0
20000,0,multi,0.02,≥10%,296,277,93.58108108108108,3.902027027027027,0.011920457288069822,0.99999046487663,0.0,0
20000,0,multi,0.05,ALL,1000,737,73.7,3.657,0.05853833892215745,0.99099794387787,0.027537188494759977,0
20000,0,multi,0.05,<1%,118,35,29.66101694915254,3.0677966101694913,0.13373413486913296,0.9646282346629992,0.12032004579009532,0
20000,0,multi,0.05,1–<5%,325,169,52.0,3.3784615384615386,0.10005414667405486,0.9799075564390292,0.09516985986973236,0
20000,0,multi,0.05,5–<10%,261,241,92.33716475095785,3.900383141762452,0.025715164679169608,0.9923477210686861,0.0,0
20000,0,multi,0.05,≥10%,296,292,98.64864864864865,3.983108108108108,0.011920457288069822,0.9994634198939588,0.0,0
