budget,seed,mode,tolerance,gap_bin,n_layouts,n_success,success_percent,mean_visited,mean_worst_distance,success_mean_length_ratio,success_mean_order_excess_percent,success_ambiguous_order_count
10000,0,multi,0.02,ALL,1000,538,53.800000000000004,3.251,0.06777326677419247,0.996529777936196,0.0015361831268418187,0
10000,0,multi,0.02,<1%,118,5,4.23728813559322,2.2457627118644066,0.1561354333570132,0.9810741105685828,0.1652933044481797,0
10000,0,multi,0.02,1–<5%,325,84,25.846153846153847,2.7784615384615385,0.10610713085581949,0.9883620071489628,0.0,0
10000,0,multi,0.02,5–<10%,261,179,68.5823754789272,3.57088122605364,0.041214589558834905,0.9950450308198914,0.0,0
10000,0,multi,0.02,≥10%,296,270,91.21621621621621,3.8885135135135136,0.013876554848201614,1.0003414105909525,0.0,0
10000,0,multi,0.05,ALL,1000,701,70.1,3.614,0.06777326677419247,0.9906875519321692,0.01315917372987803,0
10000,0,multi,0.05,<1%,118,24,20.33898305084746,2.940677966101695,0.1561354333570132,0.9662278224664141,0.18422766706454596,0
10000,0,multi,0.05,1–<5%,325,165,50.76923076923077,3.3630769230769233,0.10610713085581949,0.9772158479829927,0.02910979863694179,0
10000,0,multi,0.05,5–<10%,261,221,84.67432950191571,3.8160919540229883,0.041214589558834905,0.9915273133629522,0.0,0
10000,0,multi,0.05,≥10%,296,291,98.3108108108108,3.97972972972973,0.013876554848201614,0.9997056872675273,0.0,0
